Gene,SHAP_Importance
EIF5A,0.00451444951405847
TIMP2,0.004478130144743773
SREBF1,0.004445123276527738
SYT13,0.004426533672649384
TMEM59,0.004426455045686453
PTRF,0.0044111738405536016
CELSR2,0.004405192471713235
SUB1,0.0044016679621017825
H2AFJ,0.004392008861004797
CALD1,0.0043813196371047525
FGFR1,0.004379211088362354
HLA-DPB1,0.0043780228363903
CD44,0.004374254098001984
IFI6,0.004364298134933051
RPN1,0.004363273345516064
CPE,0.004332929746487935
SULF1,0.00431976024141477
MCL1,0.004287964429558997
NCRNA00188,0.004284904707456008
ORMDL3,0.0042781250175539754
EPCAM,0.00427719802417414
SERF2,0.004266330008249497
LASP1,0.0042504356105200715
IL6ST,0.004249790446938278
PREX1,0.004239983709901481
IDH2,0.004235654708973016
SLC1A1,0.004218285531096626
DSG2,0.0042106139676238285
MXRA5,0.004177246975959861
FBLN2,0.004168090003586258
APH1A,0.004146587433247077
ACTN4,0.004115396724300808
NUCKS1,0.004098252554831561
LAMC1,0.004051251850469271
PTMA,0.004048108787814044
SLC9A3R1,0.004041598260591854
TUBA1B,0.004019597785154474
SFRP1,0.004007279622019268
TIMP1,0.004005730104287295
TGFBI,0.003991105212844559
PKM2,0.003986532929011446
KRT17,0.003980318309277209
DLK1,0.00394814255356323
EGR1,0.003934057750957436
GNB1,0.0039265035243442985
LITAF,0.003925390059048368
GANAB,0.003923085151564009
KCNE4,0.003911129997850367
MALAT1,0.0038992301618600324
DHRS2,0.0038863948539074045
DDB1,0.0038796579906193074
IGF1R,0.003831288178480463
NOTCH2,0.003813961281148295
S100A7,0.003812867280212231
NEAT1,0.003794102717401984
RPS27A,0.0037903323133377854
COL14A1,0.003779532224034483
PRSS23,0.0037783816987757746
CYP2B7P1,0.003770310565851105
EIF4G1,0.0037641727383379477
TTC3,0.0037345809557882605
ZFP36L2,0.0037344388487326797
CDH1,0.0037332348773634295
RBM3,0.0037247820013726596
FARP1,0.0037237509861370198
RPS11,0.003702924893632371
PCM1,0.0036964261456159876
IFITM1,0.0036963016334266284
NOTCH3,0.003681389891789877
SULF2,0.0036745861389499623
MYH9,0.0036644561346565753
CD151,0.0036582948713476072
HDGF,0.0036536268181771446
H3F3A,0.003648858310407377
ELN,0.0036441181983536807
RAB11FIP1,0.0036351459129946306
TMED2,0.0036325293654249436
NME4,0.0036247780741541645
RPS25,0.003614255313841568
HLA-DQB1,0.0036123934551142156
COL6A2,0.0036071413054014558
TPI1,0.003606899815276847
SEL1L,0.0036054368333134335
TSTA3,0.0036050639366658286
TOP2A,0.0035905806794471573
RHOA,0.0035680115564551682
RPS14,0.0035466466304205826
TRIM28,0.003540416628893581
NAP1L1,0.003533602822176363
EDF1,0.003530330209305248
RPS2,0.003524467078677844
CYB561,0.0035203224168799353
OS9,0.0035096669316408225
CCDC80,0.0035055758123053236
CYBRD1,0.0035000816789397503
ATP5E,0.00348198635278095
COL5A1,0.0034752026581554673
PTPRT,0.003464322076179087
AGRN,0.0034537755491328426
GABARAP,0.003452642120373639
PSD3,0.0034437078107293928
MFGE8,0.003437858811557817
H1F0,0.003432528591074515
SSFA2,0.0034236888660780095
C20orf108,0.003412920125410892
RBBP4,0.0033954105776797406
RPL6,0.0033921043542795813
MAL2,0.0033818161216186125
TPP1,0.0033807132246147374
DDX5,0.003372522621139069
WARS,0.0033635503921686906
APOE,0.003354794760812183
PEG10,0.0033384351434688144
CAPRIN1,0.003321153600845719
AIF1L,0.003317063045251416
RPS13,0.0033001780133054127
PDCD4,0.003288286693805276
GNS,0.0032769102539896267
UGT2B11,0.003263756494561676
SEPP1,0.003259633834500164
OAS2,0.0032549462546376164
CALM2,0.003232612438878277
CLIC1,0.0032298330578396416
GREB1,0.0032206284487619995
RPS6,0.003216314867422625
MYBPC1,0.0032045517800725065
DEGS2,0.003202034646392349
CRIP2,0.003192690287382902
PROM2,0.0031874881792464294
ST3GAL1,0.003187251855329123
BAT2,0.0031822345357068117
SFRP4,0.0031791054333734792
MAGED1,0.003166160066957673
ASPH,0.0031606514322629663
MACF1,0.0031441163365525425
SNRNP200,0.0031361943162846726
SLC38A1,0.0031309881969627893
VWF,0.00312929187906775
THBS4,0.0031251021099160427
RAB31,0.0031126492782095738
PPP1CB,0.003087493334969622
ACTR2,0.0030735926815850688
EZR,0.0030673148818550545
TPR,0.0030574393307961144
RPL22,0.0030556941638496937
FTH1,0.003048992544754583
RNF213,0.0030461303359152225
ERLIN2,0.003045209007757421
ANTXR1,0.0030379388027722597
FTL,0.0030316990200662986
CYR61,0.0030217377164080974
FBL,0.0030162842104527955
ALG8,0.0030108718487099396
TPM3,0.0030084485754923664
EVL,0.0029751436917740647
SOD2,0.0029737411232008525
LSR,0.002973539330341737
FABP7,0.002973415608503274
IMPAD1,0.002972532619392041
NBL1,0.0029589103093530865
CTGF,0.0029556184374087023
SERPINF1,0.002954325476275699
SCUBE2,0.0029525781088705115
GRINA,0.002952555556112202
CLIC6,0.002949644169420935
RPS3A,0.002946392132143956
EPRS,0.0029124855895133806
NDUFB9,0.002905741463071081
STMN1,0.002902412649273174
SLC1A5,0.0028933861392397373
NFIB,0.0028929682819580195
ACTA2,0.002879335628783792
THSD4,0.0028770411503501237
TRAM1,0.0028720485264784657
BST2,0.0028681323889759368
MYADM,0.002868106688001717
PIK3R1,0.002861324158677689
SERPINA6,0.0028577114744939534
THBS2,0.0028537922081159194
TMEM123,0.002852755369112856
MVP,0.002852590632205647
AQP1,0.0028481889424620023
CDK4,0.0028409929306144476
SPINT2,0.002838800630888727
MYH14,0.0028387894689512905
RPS10,0.0028286960706464014
GRB2,0.00282687146205717
SLC7A5,0.002825544182378508
NORAD,0.002822065557411406
WNK1,0.002813780108590436
PADI2,0.002813468515232671
ADAM9,0.0028082451252350892
TXNIP,0.0028075996658299116
INSR,0.002806350230766839
GPX4,0.002806213993608253
FXYD3,0.002799183954102773
SLC25A6,0.0027987290892497185
TAT,0.0027969333392684347
GAS5,0.002776735483394077
SERINC1,0.0027705431119829883
CTSS,0.002767967656691326
GALNT6,0.0027514931162295397
SPDEF,0.002745721294595569
TUBB2C,0.002741536979738157
S100A6,0.002740753285943356
HNRNPU,0.0027361945520351584
SORT1,0.0027352742544007923
CAPN2,0.002734209581722098
EIF1,0.0027246014325646682
BCAP31,0.0027199142188885617
TAP1,0.002706162611611944
OLFM4,0.002703847843422409
CLSTN2,0.0027020974470178772
SLC25A3,0.0026935270259082246
PPIB,0.002666850953901303
ERMP1,0.0026622334806052097
ANXA2,0.0026621779707284078
KRT6A,0.002656407823060363
